IDProvince;CityType;Name
1;KA;ACEH SELATAN
1;KA;ACEH TENGGARA
1;KA;ACEH TIMUR
1;KA;ACEH TENGAH
1;KA;ACEH BARAT
1;KA;ACEH BESAR
1;KA;PIDIE
1;KA;ACEH UTARA
1;KA;SIMEULUE
1;KA;ACEH SINGKIL
1;KA;BIREUEN
1;KA;ACEH BARAT DAYA
1;KA;GAYO LUES
1;KA;ACEH JAYA
1;KA;NAGAN RAYA
1;KA;ACEH TAMIANG
1;KA;BENER MERIAH
1;KA;PIDIE JAYA
1;KO;BANDA ACEH
1;KO;SABANG
1;KO;LHOKSEUMAWE
1;KO;LANGSA
1;KO;SUBULUSSALAM
2;KA;TAPANULI TENGAH
2;KA;TAPANULI UTARA
2;KA;TAPANULI SELATAN
2;KA;NIAS
2;KA;LANGKAT
2;KA;KARO
2;KA;DELI SERDANG
2;KA;SIMALUNGUN
2;KA;ASAHAN
2;KA;LABUHANBATU
2;KA;DAIRI
2;KA;TOBA SAMOSIR
2;KA;MANDAILING NATAL
2;KA;NIAS SELATAN
2;KA;PAKPAK BHARAT
2;KA;HUMBANG HASUNDUTAN
2;KA;SAMOSIR
2;KA;SERDANG BEDAGAI
2;KA;BATUBARA
2;KA;PADANG LAWAS UTARA
2;KA;PADANG LAWAS
2;KA;LABUHANBATU SELATAN
2;KA;LABUHANBATU UTARA
2;KA;NIAS UTARA
2;KA;NIAS BARAT
2;KO;MEDAN
2;KO;PEMATANG SIANTAR
2;KO;SIBOLGA
2;KO;TANJUNG BALAI
2;KO;BINJAI
2;KO;TEBING TINGGI
2;KO;PADANG SIDIMPUAN
2;KO;GUNUNGSITOLI
3;KA;PESISIR SELATAN
3;KA;SOLOK
3;KA;SIJUNJUNG
3;KA;TANAH DATAR
3;KA;PADANG PARIAMAN
3;KA;AGAM
3;KA;LIMA PULUH KOTA
3;KA;PASAMAN
3;KA;KEPULAUAN MENTAWAI
3;KA;DHARMASRAYA
3;KA;SOLOK SELATAN
3;KA;PASAMAN BARAT
3;KO;PADANG
3;KO;SOLOK
3;KO;SAWAHLUNTO
3;KO;PADANG PANJANG
3;KO;BUKIT TINGGI
3;KO;PAYAKUMBUH
3;KO;PARIAMAN
4;KA;KAMPAR
4;KA;INDRAGIRI HULU
4;KA;BENGKALIS
4;KA;INDRAGIRI HILIR
4;KA;PELALAWAN
4;KA;ROKAN HULU
4;KA;ROKAN HILIR
4;KA;SIAK
4;KA;KUANTAN SINGINGI
4;KA;KEPULAUAN MERANTI
4;KO;PEKANBARU
4;KO;DUMAI
5;KA;KERINCI
5;KA;MERANGIN
5;KA;SAROLANGUN
5;KA;BATANG HARI
5;KA;MUARO JAMBI
5;KA;TANJUNG JABUNG BARAT
5;KA;TANJUNG JABUNG TIMUR
5;KA;BUNGO
5;KA;TEBO
5;KO;JAMBI
5;KO;SUNGAI PENUH
6;KA;OGAN KOMERING ULU
7;KA;OGAN KOMERING ULU TIMUR
6;KA;OGAN KOMERING ULU SELATAN
6;KA;OGAN KOMERING ILIR
6;KA;MUARA ENIM
6;KA;LAHAT
6;KA;MUSI RAWAS
6;KA;MUSI BANYUASIN
6;KA;BANYUASIN
6;KA;OKU TIMUR
6;KA;OKU SELATAN
6;KA;OGAN ILIR
6;KA;EMPAT LAWANG
6;KO;PALEMBANG
6;KO;PAGAR ALAM
6;KO;LUBUK LINGGAU
6;KO;PRABUMULIH
7;KA;BENGKULU SELATAN
7;KA;REJANG LEBONG
7;KA;BENGKULU UTARA
7;KA;KAUR
7;KA;SELUMA
7;KA;MUKO-MUKO
7;KA;LEBONG
7;KA;KEPAHIANG
7;KA;BENGKULU TENGAH
7;KO;BENGKULU
8;KA;LAMPUNG SELATAN
8;KA;LAMPUNG TENGAH
8;KA;LAMPUNG UTARA
8;KA;LAMPUNG BARAT
8;KA;TULANG BAWANG
8;KA;TANGGAMUS
8;KA;LAMPUNG TIMUR
8;KA;WAY KANAN
8;KA;PESAWARAN
8;KA;PRINGSEWU
8;KA;TULANG BAWANG BARAT
8;KO;BANDAR LAMPUNG
8;KO;METRO
9;KA;BANGKA
9;KA;BELITUNG
9;KA;BANGKA SELATAN
9;KA;BANGKA TENGAH
9;KA;BANGKA BARAT
9;KA;BELITUNG TIMUR
9;KO;PANGKAL PINANG
10;KA;BINTAN
10;KA;KARIMUN
10;KA;NATUNA
10;KA;LINGGA
10;KA;KEPULAUAN ANAMBAS
10;KO;BATAM
10;KO;TANJUNG PINANG
11;KA;KEPULAUAN SERIBU
11;DKI;DKI JAKARTA
11;KO;JAKARTA PUSAT
11;KO;JAKARTA UTARA
11;KO;JAKARTA BARAT
11;KO;JAKARTA SELATAN
11;KO;JAKARTA TIMUR
12;KA;BOGOR
12;KA;SUKABUMI
12;KA;CIANJUR
12;KA;BANDUNG
12;KA;GARUT
12;KA;TASIKMALAYA
12;KA;CIAMIS
12;KA;KUNINGAN
12;KA;CIREBON
12;KA;MAJALENGKA
12;KA;SUMEDANG
12;KA;INDRAMAYU
12;KA;SUBANG
12;KA;PURWAKARTA
12;KA;KARAWANG
12;KA;BEKASI
12;KA;BANDUNG BARAT
12;KO;BOGOR
12;KO;SUKABUMI
12;KO;BANDUNG
12;KO;CIREBON
12;KO;BEKASI
12;KO;DEPOK
12;KO;CIMAHI
12;KO;TASIKMALAYA
12;KO;BANJAR
13;KA;CILACAP
13;KA;BANYUMAS
13;KA;PURBALINGGA
13;KA;BANJARNEGARA
13;KA;KEBUMEN
13;KA;PURWOREJO
13;KA;WONOSOBO
13;KA;MAGELANG
13;KA;BOYOLALI
13;KA;KLATEN
13;KA;SUKOHARJO
13;KA;WONOGIRI
13;KA;KARANGANYAR
13;KA;SRAGEN
13;KA;GROBOGAN
13;KA;BLORA
13;KA;REMBANG
13;KA;PATI
13;KA;KUDUS
13;KA;JEPARA
13;KA;DEMAK
13;KA;SEMARANG
13;KA;TEMANGGUNG
13;KA;KENDAL
13;KA;BATANG
13;KA;PEKALONGAN
13;KA;PEMALANG
13;KA;TEGAL
13;KA;BREBES
13;KO;MAGELANG
13;KO;SURAKARTA
13;KO;SALATIGA
13;KO;SEMARANG
13;KO;PEKALONGAN
13;KO;TEGAL
14;KA;KULON PROGO
14;KA;BANTUL
14;KA;GUNUNG KIDUL
14;KA;SLEMAN
14;KO;YOGYAKARTA
15;KA;PACITAN
15;KA;PONOROGO
15;KA;TRENGGALEK
15;KA;TULUNGAGUNG
15;KA;BLITAR
15;KA;KEDIRI
15;KA;MALANG
15;KA;LUMAJANG
15;KA;JEMBER
15;KA;BANYUWANGI
15;KA;BONDOWOSO
15;KA;SITUBONDO
15;KA;PROBOLINGGO
15;KA;PASURUAN
15;KA;SIDOARJO
15;KA;MOJOKERTO
15;KA;JOMBANG
15;KA;NGANJUK
15;KA;MADIUN
15;KA;MAGETAN
15;KA;NGAWI
15;KA;BOJONEGORO
15;KA;TUBAN
15;KA;LAMONGAN
15;KA;GRESIK
15;KA;BANGKALAN
15;KA;SAMPANG
15;KA;PAMEKASAN
15;KA;SUMENEP
15;KO;KEDIRI
15;KO;BLITAR
15;KO;MALANG
15;KO;PROBOLINGGO
15;KO;PASURUAN
15;KO;MOJOKERTO
15;KO;MADIUN
15;KO;SURABAYA
15;KO;BATU
16;KA;PANDEGLANG
16;KA;LEBAK
16;KA;TANGERANG
16;KA;SERANG
16;KO;TANGERANG
16;KO;CILEGON
16;KO;SERANG
16;KO;TANGERANG SELATAN
17;KA;JEMBRANA
17;KA;TABANAN
17;KA;BADUNG
17;KA;GIANYAR
17;KA;KLUNGKUNG
17;KA;BANGLI
17;KA;KARANGASEM
17;KA;BULELENG
17;KO;DENPASAR
18;KA;LOMBOK BARAT
18;KA;LOMBOK TENGAH
18;KA;LOMBOK TIMUR
18;KA;SUMBAWA
18;KA;DOMPU
18;KO;BIMA
18;KA;BIMA
18;KA;SUMBAWA BARAT
18;KA;LOMBOK UTARA
18;KO;MATARAM
19;KA;KUPANG
19;KA;TIMOR TENGAH SELATAN
19;KA;TIMOR TENGAH UTARA
19;KA;BELU
19;KA;ALOR
19;KA;FLORES TIMUR
19;KA;SIKKA
19;KA;ENDE
19;KA;NGADA
19;KA;MANGGARAI
19;KA;SUMBA TIMUR
19;KA;SUMBA BARAT
19;KA;LEMBATA
19;KA;ROTE NDAO
19;KA;MANGGARAI BARAT
19;KA;NAGEKEO
19;KA;SUMBA TENGAH
19;KA;SUMBA BARAT DAYA
19;KA;MANGGARAI TIMUR
19;KA;SABU RAIJUA
19;KO;KUPANG
20;KA;SAMBAS
20;KA;PONTIANAK
20;KA;SANGGAU
20;KA;KETAPANG
20;KA;SINTANG
20;KA;KAPUAS HULU
20;KA;BENGKAYANG
20;KA;LANDAK
20;KA;SEKADAU
20;KA;MELAWI
20;KA;KAYONG UTARA
20;KA;KUBU RAYA
20;KO;PONTIANAK
20;KO;SINGKAWANG
21;KA;KOTAWARINGIN BARAT
21;KA;KOTAWARINGIN TIMUR
21;KA;KAPUAS
21;KA;BARITO SELATAN
21;KA;BARITO UTARA
21;KA;KATINGAN
21;KA;SERUYAN
21;KA;SUKAMARA
21;KA;LAMANDAU
21;KA;GUNUNG MAS
21;KA;PULANG PISAU
21;KA;MURUNG RAYA
21;KA;BARITO TIMUR
21;KO;PALANGKARAYA
22;KA;TANAH LAUT
22;KA;KOTABARU
22;KA;BANJAR
22;KA;BARITO KUALA
22;KA;TAPIN
22;KA;HULU SUNGAI SELATAN
22;KA;HULU SUNGAI TENGAH
22;KA;HULU SUNGAI UTARA
22;KA;TABALONG
22;KA;TANAH BUMBU
22;KA;BALANGAN
22;KO;BANJARMASIN
22;KO;BANJARBARU
23;KA;PASER
23;KA;KUTAI KARTANEGARA
23;KA;BERAU
34;KA;BULUNGAN
34;KA;NUNUKAN
34;KA;MALINAU
23;KA;KUTAI BARAT
23;KA;KUTAI TIMUR
23;KA;PENAJAM PASER UTARA
34;KA;TANA TIDUNG
23;KO;BALIKPAPAN
23;KO;SAMARINDA
34;KO;TARAKAN
23;KO;BONTANG
24;KA;BOLAANG MONGONDOW
24;KA;MINAHASA
24;KA;KEPULAUAN SANGIHE
24;KA;KEPULAUAN TALAUD
24;KA;MINAHASA SELATAN
24;KA;MINAHASA UTARA
24;KA;MINAHASA TENGGARA
24;KA;BOLAANG MONGONDOW UTARA
24;KA;KEP. SIAU TAGULANDANG B ARAT
24;KA;BOLAANG MONGONDOW TI MUR
24;KA;BOLAANG MONGONDOW SELATAN
24;KO;MANADO
24;KO;BITUNG
24;KO;TOMOHON
24;KO;KOTAMOBAGU
25;KA;BANGGAI
25;KA;POSO
25;KA;DONGGALA
25;KA;TOLI-TOLI
25;KA;BUOL
25;KA;MOROWALI
25;KA;BANGGAI KEPULAUAN
25;KA;PARIGI MOUTONG
25;KA;TOJO UNA-UNA
25;KA;SIGI
25;KO;PALU
26;KA;KEPULAUAN SELAYAR
26;KA;BULUKUMBA
26;KA;BANTAENG
26;KA;JENEPONTO
26;KA;TAKALAR
26;KA;GOWA
26;KA;SINJAI
26;KA;BONE
26;KA;MAROS
26;KA;PANGKAJENE KEPULAUAN
26;KA;BARRU
26;KA;SOPPENG
26;KA;WAJO
26;KA;SIDENRENG RAPPANG
26;KA;PINRANG
26;KA;ENREKANG
26;KA;LUWU
26;KA;TANA TORAJA
26;KA;POLEWALI MAMASA
26;KA;LUWU UTARA
26;KA;LUWU TIMUR
26;KA;TANA TORAJA UTARA
26;KO;MAKASSAR
26;KO;PARE-PARE
26;KO;PALOPO
27;KA;KOLAKA
27;KA;KONAWE
27;KA;MUNA
27;KA;BUTON
27;KA;KONAWE SELATAN
27;KA;BOMBANA
27;KA;WAKATOBI
27;KA;KOLAKA UTARA
27;KA;KONAWE UTARA
27;KA;BUTON UTARA
27;KO;KENDARI
27;KO;BAU-BAU
28;KA;GORONTALO
28;KA;BOALEMO
28;KA;BONE BOLANGO
28;KA;PAHUWATO
28;KA;GORONTALO UTARA
28;KO;GORONTALO
29;KA;MAMUJU UTARA
29;KA;MAMUJU
29;KA;MAMASA
29;KA;POLEWALI MANDAR
29;KA;MAJENE
30;KA;MALUKU TENGAH
30;KA;MALUKU TENGGARA
30;KA;MALUKU TENGGARA BARAT
30;KA;BURU
30;KA;SERAM BAGIAN TIMUR
30;KA;SERAM BAGIAN BARAT
30;KA;KEPULAUAN ARU
30;KA;MALUKU BARAT DAYA
30;KA;BURU SELATAN
30;KO;AMBON
30;KO;TUAL
31;KA;HALMAHERA BARAT
31;KA;HALMAHERA TENGAH
31;KA;HALMAHERA UTARA
31;KA;HALMAHERA SELATAN
31;KA;KEPULAUAN SULA
31;KA;HALMAHERA TIMUR
31;KA;PULAU MOROTAI
31;KO;TERNATE
31;KO;TIDORE KEPULAUAN
32;KA;MERAUKE
32;KA;JAYAWIJAYA
32;KA;JAYAPURA
32;KA;NABIRE
32;KA;KEPULAUAN YAPEN
32;KA;BIAK NUMFOR
32;KA;PUNCAK JAYA
32;KA;PANIAI
32;KA;MIMIKA
32;KA;SARMI
32;KA;KEEROM
32;KA;PEGUNUNGAN BINTANG
32;KA;YAHUKIMO
32;KA;TOLIKARA
32;KA;WAROPEN
32;KA;BOVEN DIGOEL
32;KA;MAPPI
32;KA;ASMAT
32;KA;SUPIORI
32;KA;MAMBERAMO RAYA
32;KA;MAMBERAMO TENGAH
32;KA;YALIMO
32;KA;LANNY JAYA
32;KA;NDUGA
32;KA;PUNCAK
32;KA;DOGIYAI
32;KA;INTAN JAYA
32;KA;DEIYAI
32;KO;JAYAPURA
33;KA;SORONG
33;KA;MANOKWARI
33;KA;FAK-FAK
33;KA;SORONG SELATAN
33;KA;RAJA AMPAT
33;KA;TELUK BINTUNI
33;KA;TELUK WONDAMA
33;KA;KAIMANA
33;KA;TAMBRAUW
33;KA;MAYBRAT
33;KO;SORONG
